LE	RI	TO	BO	EN	FR	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
冫	彡	䒑	ハ	厂	丶	一	口	日	田	丁	十	千	牛	士	木	卉	冖	亠	乚	止	水	厶	又	奐	癶	尸	右	弋	彐	匚	𠃊
氵	刂	⺌	儿	广	U+F2AD	ニ	言	旦	苗	了	斗	舌	告	吉	釆	开	⿱⺍冖	⿱亠口	乙	歩	永	台	取	免	𠆢	辟	有	U+F2BC	翟	区	𠀉
忄	⻏	龴	心	疒	丨	人	占	亘	畐	矛	古	重	先	土	喿	廾	⿱龸口	京	心	延	求	能	叔	勹	介	尺	布	代	⿳彐冖又	匹	非
丬	卩	⺈	灬	辶	卜	山	加	旧	魚	可	固	禾	生	赤	林	廿	売	市	必	卸	U+F2E4	広	隻	勺	余	戸	U+F2CE	戈	帚	巨	不
亻	攵	宀	⺼	廴	巾	石	召	白	曽	奇	早	釆	朱	圭	麻	革	軍	亡	⿱宀儿	正	𧘇	云	祭	句	金	扁	𠂇	𢦏	录	臣	U+F2CF
禾	頁	艹	_	囗	土	耳	豆	原	由	牙	龺	壬	矢	孝	本	甘	冂	方	元	𤴓	㐮	至	殳	旬	舎	倉	友	戠	肀	U+F2F6	片
米	隹	⺮	_	_	大	火	兄	百	𤰔	示	干	廷	矢	者	未	某	内	文	酉	疋	衣	去	圣	⿱日匂	食	_	史	我	隶	臤	𠂆
⻖	月	⺲	_	_	_	川	兑	門	曲	于	⿱爫𠙻	手	牛	工	末	其	同	斉	尢	足	⿱一𧘇	𠫓	奴	勿	令	_	更	義	聿	馬	乃
弓	_	⺍	_	_	_	力	𠂤	艮	曹	才	平	乗	U+F2C9	五	朮	井	周	交	匕	走	長	育	反	万	今	_	大	戊	兼	己	及
犭	_	爫	_	_	_	刀	㠯	良	甲	寸	羊	垂	乍	並	米	龷	咼	亦	化	是	辰	充	支	昜	合	_	莫	戌	君	包	𠃌
扌	_	𠂉	_	_	_	女	呂	U+F2CA	申	付	半	彳	竹	亜	束	昔	岡	立	比	_	氏	鬼	皮	豕	㑒	_	犬	成	争	弓	之
礻	_	⻗	_	_	_	小	中	車	里	寺	ヰ	行	_	西	東	共	而	咅	北	_	氐	亥	_	家	俞	_	尞	㦮	_	弔	為
衤	_	_	_	_	_	少	虫	目	単	専	韋	升	_	龶	_	_	禺	音	旨	_	民	幺	_	㒸	侖	_	天	_	_	弗	入
糸	_	_	_	_	_	皿	𠀐	相	果	_	_	隹	_	⿱艹⿻口龶	_	_	月	章	兆	_	以	𢆶	_	貇	八	_	关	_	_	丂	屰
王	_	_	_	_	_	子	串	且	_	_	_	_	_	青	_	_	肖	意	七	_	U+F2CD	玄	_	欠	公	_	夫	_	_	考	敢
木	_	_	_	_	_	母	_	自	_	_	_	_	_	責	_	_	用	⿱立木	虍	_	卬	糸	_	㳄	㕣	_	𦰩	_	_	与	身
訁	_	_	_	_	_	父	_	首	_	_	_	_	_	王	_	_	甫	辛	毛	_	_	系	_	夕	谷	_	夬	_	_	呉	U+F2D0
⻊	_	_	_	_	_	㐅	_	見	_	_	_	_	_	主	_	_	円	⿻立冖	屯	_	_	_	_	舛	⿱一ハ	_	央	_	_	_	U+F2D2
酉	_	_	_	_	_	凵	_	貝	_	_	_	_	_	𦍌	_	_	冊	⿻立冂	电	_	_	_	_	名	_	_	夹	_	_	_	敝
飠	_	_	_	_	_	斤	_	則	_	_	_	_	_	_	_	_	再	产	九	_	_	_	_	歹	_	_	龹	_	_	_	鬲
釒	_	_	_	_	_	丘	_	_	_	_	_	_	_	_	_	_	冓	_	卆	_	_	_	_	列	_	_	𡗗	_	_	_	世
馬	_	_	_	_	_	羽	_	_	_	_	_	_	_	_	_	_	舟	_	丸	_	_	_	_	久	_	_	丰	_	_	_	U+F2D5
日	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	几	_	㔾	_	_	_	_	夂	_	_	_	_	_	_	_
⺼	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	凡	_	巴	_	_	_	_	复	_	_	_	_	_	_	_
_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	也	_	_	_	_	夋	_	_	_	_	_	_	_
_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	各	_	_	_	_	_	_	_
